flight_id,flight_number,airline_iata,aircraft_type,flight_date,scheduled_departure,destination_airport,distance_km,passengers,fuel_kg,flight_type
FLT_20250801_0001,AF6541,AF,A333,2025-08-01,09:00,BCN,1357,139,4098,international
FLT_20250801_0002,U23449,U2,A320,2025-08-01,17:15,FCO,1901,113,5210,european
FLT_20250801_0003,W63153,W6,A333,2025-08-01,18:00,LYS,1940,96,2375,domestic
FLT_20250801_0004,AF4204,AF,A333,2025-08-01,12:30,BCN,779,107,6572,european
FLT_20250801_0005,FR4029,FR,A333,2025-08-01,13:45,TLS,594,164,5785,international
FLT_20250801_0006,W68174,W6,B738,2025-08-01,19:15,TLS,1067,179,6344,european
FLT_20250801_0007,W63799,W6,A320,2025-08-01,06:15,TLS,670,131,5943,international
FLT_20250801_0008,W64199,W6,B738,2025-08-01,18:00,NCE,1825,165,4947,european
FLT_20250801_0009,W61362,W6,A320,2025-08-01,22:00,AMS,1866,166,4403,international
FLT_20250801_0010,FR5306,FR,B738,2025-08-01,20:30,NCE,616,118,5239,european
FLT_20250801_0011,BA8236,BA,A320,2025-08-01,20:30,BCN,1967,124,2623,domestic
FLT_20250801_0012,KL3499,KL,A333,2025-08-01,08:30,MAD,1849,105,4166,international
FLT_20250801_0013,U24673,U2,A333,2025-08-01,14:00,TLS,1486,85,2174,international
FLT_20250801_0014,KL9158,KL,A320,2025-08-01,21:15,FRA,441,159,2924,international
FLT_20250801_0015,W6969,W6,B738,2025-08-01,14:00,BCN,674,119,6113,european
FLT_20250801_0016,AF8300,AF,A320,2025-08-01,06:30,BCN,636,121,2339,european
FLT_20250801_0017,W65737,W6,B738,2025-08-01,07:00,LHR,1860,153,2596,international
FLT_20250801_0018,AF2399,AF,B738,2025-08-01,20:30,FRA,1169,158,7615,european
FLT_20250801_0019,KL3229,KL,B738,2025-08-01,22:15,FRA,1790,121,4759,european
FLT_20250801_0020,AF7015,AF,A320,2025-08-01,06:00,LHR,336,120,4811,domestic
FLT_20250801_0021,KL9957,KL,B738,2025-08-01,13:30,NCE,1980,127,3618,domestic
FLT_20250801_0022,BA8606,BA,A333,2025-08-01,13:00,BCN,455,124,4158,european
FLT_20250801_0023,U2413,U2,A333,2025-08-01,16:00,BCN,1066,103,7892,international
FLT_20250801_0024,LH592,LH,B738,2025-08-01,17:15,MAD,1139,149,3620,domestic
FLT_20250801_0025,AF4844,AF,A320,2025-08-01,08:30,FRA,1973,98,4748,domestic
FLT_20250801_0026,U2496,U2,A320,2025-08-01,11:15,MAD,1101,143,6565,domestic
FLT_20250801_0027,KL4707,KL,A333,2025-08-01,18:00,TLS,494,92,4140,international
FLT_20250801_0028,LH8916,LH,B738,2025-08-01,20:45,FRA,344,94,3554,european
FLT_20250801_0029,LH1424,LH,A320,2025-08-01,16:00,LYS,398,90,2889,european
FLT_20250801_0030,U2560,U2,A320,2025-08-01,19:15,TLS,919,97,4153,international
FLT_20250801_0031,U22743,U2,B738,2025-08-01,16:15,LHR,381,180,6921,domestic
FLT_20250801_0032,AF239,AF,A320,2025-08-01,21:00,AMS,645,83,2802,international
FLT_20250801_0033,BA7998,BA,A333,2025-08-01,14:45,LHR,1170,149,6900,domestic
FLT_20250801_0034,AF1143,AF,B738,2025-08-01,20:00,LYS,1564,132,4467,international
FLT_20250801_0035,FR1386,FR,A333,2025-08-01,08:00,LYS,1822,168,3404,international
FLT_20250801_0036,AF7813,AF,B738,2025-08-01,21:15,FRA,1845,104,6529,domestic
FLT_20250801_0037,W66502,W6,A333,2025-08-01,23:15,MAD,1664,113,4857,international
FLT_20250801_0038,KL5030,KL,A320,2025-08-01,07:30,BCN,1420,104,5781,domestic
FLT_20250801_0039,U29358,U2,B738,2025-08-01,16:00,FCO,1576,98,2386,domestic
FLT_20250801_0040,BA9745,BA,B738,2025-08-01,23:45,FRA,842,178,3342,domestic
FLT_20250801_0041,W63598,W6,B738,2025-08-01,07:00,FRA,1959,142,6778,international
FLT_20250801_0042,LH4900,LH,A333,2025-08-01,19:45,LHR,1066,170,3603,european
FLT_20250801_0043,KL7249,KL,A333,2025-08-01,20:30,MAD,651,139,3855,international
FLT_20250801_0044,AF3257,AF,B738,2025-08-01,21:00,NCE,1682,105,7339,international
FLT_20250801_0045,BA4172,BA,A320,2025-08-01,07:00,LHR,1123,116,4830,european
FLT_20250801_0046,LH7727,LH,B738,2025-08-01,15:15,FCO,1711,109,6642,european
FLT_20250801_0047,U25889,U2,B738,2025-08-01,07:15,TLS,1202,102,4739,international
FLT_20250801_0048,W67394,W6,A333,2025-08-01,06:45,MUC,1935,178,6112,domestic
FLT_20250801_0049,LH9343,LH,A333,2025-08-01,22:15,FCO,1098,120,2322,domestic
FLT_20250801_0050,LH8729,LH,A320,2025-08-01,20:00,FCO,1859,108,4305,international
FLT_20250801_0051,LH9358,LH,B738,2025-08-01,06:15,TLS,495,166,4552,international
FLT_20250801_0052,KL3215,KL,A320,2025-08-01,09:15,FCO,1700,88,5710,european
FLT_20250801_0053,BA2581,BA,A333,2025-08-01,10:00,MAD,1391,99,3575,domestic
FLT_20250801_0054,KL8046,KL,B738,2025-08-01,17:30,BCN,584,129,2919,domestic
FLT_20250801_0055,FR3104,FR,A333,2025-08-01,19:15,MAD,884,162,2085,international
FLT_20250801_0056,LH3750,LH,B738,2025-08-01,07:45,NCE,1560,88,7386,european
FLT_20250801_0057,W63361,W6,A333,2025-08-01,18:00,TLS,1248,148,3689,european
FLT_20250801_0058,KL5653,KL,A320,2025-08-01,18:45,MUC,870,96,2587,international
FLT_20250801_0059,U27500,U2,A320,2025-08-01,11:00,MAD,380,145,4779,domestic
FLT_20250801_0060,FR4839,FR,A333,2025-08-01,11:00,MAD,774,128,6206,domestic
FLT_20250801_0061,AF7220,AF,A333,2025-08-01,06:45,NCE,933,165,2781,domestic
FLT_20250801_0062,FR3416,FR,B738,2025-08-01,21:15,TLS,657,141,3110,european
FLT_20250801_0063,U29489,U2,B738,2025-08-01,12:45,LHR,1564,171,2202,international
FLT_20250801_0064,AF1012,AF,A333,2025-08-01,17:00,MUC,854,172,5985,international
FLT_20250801_0065,KL8768,KL,A333,2025-08-01,07:30,LHR,819,162,6025,domestic
FLT_20250801_0066,U22459,U2,B738,2025-08-01,11:45,BCN,1174,162,3176,domestic
FLT_20250801_0067,BA5355,BA,A333,2025-08-01,14:45,MUC,1519,149,6244,european
FLT_20250801_0068,LH2103,LH,A320,2025-08-01,16:45,FCO,596,89,7782,european
FLT_20250801_0069,U27877,U2,A333,2025-08-01,06:15,LHR,1305,110,7461,domestic
FLT_20250801_0070,AF7101,AF,B738,2025-08-01,08:00,LHR,1638,104,5899,domestic
FLT_20250801_0071,BA6928,BA,A333,2025-08-01,19:00,NCE,1289,81,4099,international
FLT_20250801_0072,U24294,U2,A333,2025-08-01,20:45,AMS,1723,112,6193,domestic
FLT_20250801_0073,FR4757,FR,A333,2025-08-01,18:45,MUC,1381,134,4589,european
FLT_20250801_0074,LH9796,LH,A320,2025-08-01,17:00,FRA,370,118,3430,international
FLT_20250801_0075,U22716,U2,B738,2025-08-01,22:15,BCN,660,139,5281,domestic
FLT_20250801_0076,U29735,U2,A320,2025-08-01,17:00,FCO,1754,130,7950,european
FLT_20250801_0077,W63824,W6,B738,2025-08-01,13:00,LHR,732,87,4485,international
FLT_20250801_0078,BA3666,BA,A320,2025-08-01,07:00,MUC,1551,139,7937,european
FLT_20250801_0079,BA3122,BA,A320,2025-08-01,17:00,MAD,1882,83,5464,domestic
FLT_20250801_0080,LH944,LH,A333,2025-08-01,14:30,FRA,760,117,5507,domestic
FLT_20250801_0081,FR2250,FR,A320,2025-08-01,11:15,FRA,1128,120,6282,domestic
FLT_20250801_0082,W62490,W6,A320,2025-08-01,08:00,TLS,696,172,4534,international
FLT_20250801_0083,BA8785,BA,A333,2025-08-01,15:15,NCE,367,123,5929,domestic
FLT_20250801_0084,AF2875,AF,B738,2025-08-01,21:30,FRA,362,102,4003,domestic
FLT_20250801_0085,LH1505,LH,A320,2025-08-01,21:30,BCN,1715,170,4474,international
FLT_20250801_0086,U28569,U2,B738,2025-08-01,12:45,LYS,1320,128,5064,european
FLT_20250801_0087,FR8012,FR,A320,2025-08-01,23:15,AMS,1639,90,2201,domestic
FLT_20250801_0088,FR966,FR,A333,2025-08-01,17:00,MUC,1766,139,6094,international
FLT_20250801_0089,LH7594,LH,A333,2025-08-01,08:00,FRA,1262,81,2930,international
FLT_20250801_0090,FR238,FR,A333,2025-08-01,13:15,MAD,1666,166,2082,domestic
FLT_20250801_0091,BA4342,BA,B738,2025-08-01,20:15,MUC,1831,101,6732,domestic
FLT_20250801_0092,FR2188,FR,A320,2025-08-01,10:45,LHR,1690,153,5705,european
FLT_20250801_0093,LH7734,LH,A333,2025-08-01,23:30,FRA,601,131,6391,european
FLT_20250801_0094,KL5822,KL,B738,2025-08-01,13:30,FCO,1817,91,7550,international
FLT_20250801_0095,KL9901,KL,A333,2025-08-01,08:15,NCE,1501,132,4058,european
FLT_20250801_0096,U22522,U2,B738,2025-08-01,19:15,BCN,866,155,7917,european
FLT_20250801_0097,W67705,W6,A333,2025-08-01,06:30,MUC,1792,123,2964,european
FLT_20250801_0098,LH6049,LH,B738,2025-08-01,06:30,AMS,932,101,7800,european
FLT_20250801_0099,W64069,W6,B738,2025-08-01,14:15,BCN,1245,117,6536,international
FLT_20250801_0100,AF3905,AF,A333,2025-08-01,16:00,AMS,1766,180,5514,european
FLT_20250801_0101,BA1008,BA,A333,2025-08-01,11:45,BCN,883,94,6010,international
FLT_20250801_0102,W6344,W6,A320,2025-08-01,20:00,LHR,483,171,2844,international
FLT_20250801_0103,AF6988,AF,A333,2025-08-01,22:15,MUC,1403,86,2036,european
FLT_20250801_0104,AF6314,AF,A333,2025-08-01,16:15,BCN,822,166,5928,international
FLT_20250801_0105,W62916,W6,B738,2025-08-01,17:15,NCE,1149,132,5467,domestic
FLT_20250801_0106,BA9575,BA,A333,2025-08-01,10:45,LYS,1793,120,6344,international
FLT_20250801_0107,FR2258,FR,A320,2025-08-01,22:45,MAD,1059,164,3675,domestic
FLT_20250801_0108,LH1004,LH,B738,2025-08-01,11:00,FCO,1836,101,7097,international
FLT_20250801_0109,KL7429,KL,B738,2025-08-01,16:30,FRA,1683,118,4204,international
FLT_20250801_0110,BA3533,BA,B738,2025-08-01,10:15,FRA,878,173,6925,european
